Line Item,Quantity,Reference Designators,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,1,R1,Carbon Film Resistors - Through Hole 91ohms 5%,Royal Ohm,91 OHM 1/4W 5%,Tayda,A-2054
2,1,R2,Carbon Film Resistors - Through Hole 18Kohms 5%,Royal Ohm,CFR0W4J0183A50,Tayda,A-2109
3,3,"R3, R8, R9",Carbon Film Resistors - Through Hole 5.6Kohms 5%,Royal Ohm,CFR0W4J0562A50,Tayda,A-2097
4,2,"R4, R6",Carbon Film Resistors - Through Hole 330ohms 5%,Royal Ohm,CFR0W4J0331A50,Tayda,A-2067
5,2,"R5, R7",Carbon Film Resistors - Through Hole 680ohms 5%,Royal Ohm,CFR0W4J0681A50,Tayda,A-2075
6,1,R10,Carbon Film Resistors - Through Hole 220ohms 5%,Royal Ohm,CFR0W4J0221A50,Tayda,A-2119
7,1,R11,Carbon Film Resistors - Through Hole 7.5ohms 5%,Royal Ohm,7.5 OHM 1/4W 5%,Tayda,A-2028
8,1,R12,Carbon Film Resistors - Through Hole 75ohms 5%,Royal Ohm,CFR0W4J0750A50,Tayda,A-2052
9,1,R13,Carbon Film Resistors - Through Hole 82ohms 5%,Royal Ohm,CFR0W4J0820A50,Tayda,A-2053
10,1,R1',Carbon Film Resistors - Through Hole 4.7Kohms 5%,Royal Ohm,CFR0W4J0472A50,Tayda,A-2027
11,2,"R2', R4'",Carbon Film Resistors - Through Hole 22Kohms 5%,Royal Ohm,CFR0W4J0223A50,Tayda,A-2111
12,7,"R3', R5', R7', R9', R10', R12', R13'",Carbon Film Resistors - Through Hole 10Kohms 5%,Royal Ohm,CFR0W4J0103A50,Tayda,A-2115
13,2,"R6', R8'",Carbon Film Resistors - Through Hole 68Kohms 5%,Royal Ohm,CFR0W4J0683A50,Tayda,A-2184
14,2,"R14, R11'",Carbon Film Resistors - Through Hole 1Kohms 5%,Royal Ohm,CFR0W4J0102A50,Tayda,A-2123
15,1,LDR,PHOTO CONDUCTIVE CELL RESISTOR LDR 650NM RADIAL,WAITRONY,KE-10720,Tayda,A-1528
16,2,"C1, C3",47UF 16V 105C RADIAL ELECTROLYTIC CAPACITOR 5X11MM,Various,NPP-1708,Tayda,A-4522
17,2,"C2, C6",1000PF 50V MULTILAYER MONOLITHIC CERAMIC CAPACITOR,AEC,1000pF 50V 10%,Tayda,A-1448
19,1,C4,0.047UF 50V MULTILAYER MONOLITHIC CERAMIC CAPACITOR,AEC,0.047uF 50V 10%,Tayda,A-1475
