Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,2,"C1, C3",47uF,Nichicon,UPM1C470MDD1TD,Mouser,647-UPM1C470MDD1TD
2,2,"C2, C6",1nF,TDK,FG18C0G1H102JNT00,Mouser,810-FG18C0G1H102JNT00
3,1,C4,47nF,TDK,FG16C0G2A473JRT06,Mouser,810-FG16C0G2A473JRT6$
4,1,C5,220uF,Nichicon,UVY1C221MED1TD,Mouser,647-UVY1C221MED1TD
5,1,C7,100uF,Nichicon,UVR1E101MED ,Mouser,647-UVR1E101MED
6,4,"C8, C12, C14, C15",10uF,Nichicon,UMA1C100MDD1TP,Mouser,647-UMA1C100MDD1TP
7,1,C9,10nF,TDK,FG18C0G1H103JNT06,Mouser,810-FG18C0G1H103JNT06
8,1,C10,100nF,TDK,FG18X7R1H104KNT06 ,Mouser,810-FG18X7R1H104KNT06
9,1,C11,1uF,Nichicon,USR1H010MDD1TE,Mouser,647-USR1H010MDD1TE
10,1,C13,330nF,TDK,FG24X7R1H334KNT06,Mouser,810-FG24X7R1H334KNT06
11,1,D1,1N4148,ON Semi,1N4148,Mouser,512-1N4148
12,1,D2,1N4001,Vishay	,1N4001-E3/54,Mouser,625-1N4001-E3/54
13,1,FB1,Ferrite bead,Fair-Rite,2743001111,Mouser,623-2743001111
14,1,R1,18k,KOA Speer,MF1/4DCT52R1802F,Mouser,660-MF1/4DCT52R1802F
15,3,"R2, R7, R8",5.6k,KOA Speer,MF1/4DCT52R5601F,Mouser,660-MF1/4DCT52R5601F
16,2,"R3, R5",330R,KOA Speer,MF1/4DCT52R3300F,Mouser,660-MF1/4DCT52R3300F
17,2,"R4, R6",680R,KOA Speer,MF1/4DCT52R6800F,Mouser,660-MF1/4DCT52R6800F
18,1,R9,220R,KOA Speer,MF1/4DCT52R2200F,Mouser,660-MF1/4DCT52R2200F
19,1,R10,7.5R,KOA Speer,MF1/4DCT52R7R50F,Mouser,660-MF1/4DCT52R7R50F
20,1,R11,1.5k,KOA Speer,MF1/4DCT52R1501F,Mouser,660-MF1/4DCT52R1501F
21,1,R12,7.5k,KOA Speer,MF1/4DCT52R7501F,Mouser,660-MF1/4DCT52R7501F
22,1,"R13, R14",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
23,2,"Q1, Q3",2N3904,ON Semi,2N3904BU,Mouser,512-2N3904BU
24,1,Q2,2N3906,ON Semi,2N3906BU ,Mouser,512-2N3904BU
25,1,Q4,2N7000,ON Semi,2N7000,Mouser,512-2N7000
26,5,"S1, S2, S3, S4, S5",EG2301B,E-switch,EG2301B,Mouser,612-EG2301B
27,1,J1,10pin power connector,Wurth Elektronik,61201021621,Mouser,710-61201021621
28,2,"J2, J3",RCA,CUI Devices,RCJ-024,Mouser,490-RCJ-024
29,3,"J4, J5, J6",Jack,Qingpu,PJ398SM,Thonk,PJ398SM
30,5,"VR1, VR2, VR3, VR4, VR5",1k potentiometer,Alpha,B1K - D shaft - Alpha Vertical,Thonk,B1K - D shaft - Alpha Vertical
31,1,VR6,100k potentiometer,Song Huei,B100K - Song Huei TALL,Thonk,B100K - Song Huei TALL
32,1,,CBV001 Main board,Syntonie,CBV001_REVC,Syntonie,CBV001_REVC
33,1,,CBV001 Front panel,Syntonie,CBV001_FP,Syntonie,CBV001_FP
