Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,2,+ACI-C1, C3+ACI-,47uF,Nichicon,UPM1C470MDD1TD,Mouser,647+AC0-UPM1C470MDD1TD
2,2,+ACI-C2, C6+ACI-,1nF,TDK,FG18C0G1H102JNT00,Mouser,810+AC0-FG18C0G1H102JNT00
3,1,C4,47nF,TDK,FG16C0G2A473JRT06,Mouser,810+AC0-FG16C0G2A473JRT6
4,1,C5,220uF,Nichicon,UVY1C221MED1TD,Mouser,647+AC0-UVY1C221MED1TD
5,1,C7,100uF,Nichicon,UVR1E101MED ,Mouser,647+AC0-UVR1E101MED
6,4,+ACI-C8, C12, C14, C15+ACI-,10uF,Panasonic,ECE+AC0-A1VKA100I,Mouser,667+AC0-ECE+AC0-A1VKA100I
7,1,C9,10nF,TDK,FG18C0G1H103JNT06,Mouser,810+AC0-FG18C0G1H103JNT06
8,1,C10,100nF,TDK,FG18X7R1H104KNT06 ,Mouser,810+AC0-FG18X7R1H104KNT06
9,1,C11,1uF,KEMET,ESS105M050AB2AA,Mouser,80+AC0-ESS105M050AB2AA
10,1,C13,330nF,TDK,FG18X7R1H334KRT00,Mouser,810+AC0-FG18X7R1H334KRT00
11,1,D1,1N4148,ON Semi,1N4148,Mouser,512+AC0-1N4148
12,1,D2,1N4001,Vishay	,1N4001+AC0-E3/54,Mouser,625+AC0-1N4001+AC0-E3/54
13,1,FB1,Ferrite bead,Fair+AC0-Rite,2743001111,Mouser,623+AC0-2743001111
14,1,R1,18k,KOA Speer,MF1/4DCT52R1802F,Mouser,660+AC0-MF1/4DCT52R1802F
15,3,+ACI-R2, R7, R8+ACI-,5.6k,KOA Speer,MF1/4DCT52R5601F,Mouser,660+AC0-MF1/4DCT52R5601F
16,2,+ACI-R3, R5+ACI-,330R,KOA Speer,MF1/4DCT52R3300F,Mouser,660+AC0-MF1/4DCT52R3300F
17,2,+ACI-R4, R6+ACI-,680R,KOA Speer,MF1/4DCT52R6800F,Mouser,660+AC0-MF1/4DCT52R6800F
18,1,R9,220R,KOA Speer,MF1/4DCT52R2200F,Mouser,660+AC0-MF1/4DCT52R2200F
19,1,R10,7.5R,KOA Speer,MF1/4DCT52R7R50F,Mouser,660+AC0-MF1/4DCT52R7R50F
20,1,R11,1.5k,KOA Speer,MF1/4DCT52R1501F,Mouser,660+AC0-MF1/4DCT52R1501F
21,1,R12,7.5k,KOA Speer,MF1/4DCT52R7501F,Mouser,660+AC0-MF1/4DCT52R7501F
22,2,+ACI-R13, R14+ACI-,1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660+AC0-MF1/4DCT52R1001F
23,2,+ACI-Q1, Q3+ACI-,2N3904,ON Semi,2N3904BU,Mouser,512+AC0-2N3904BU
24,1,Q2,2N3906,ON Semi,2N3906BU ,Mouser,512+AC0-2N3906BU
25,1,Q4,2N7000,ON Semi,2N7000,Mouser,512+AC0-2N7000
26,5,+ACI-S1, S2, S3, S4, S5+ACI-,EG2301A,E+AC0-switch,EG2301A,Mouser,612+AC0-EG2301A
27,1,J1,10pin power connector,Wurth Elektronik,61201021621,Mouser,710+AC0-61201021621
28,2,+ACI-J2, J3+ACI-,RCA,CUI Devices,RCJ+AC0-024,Mouser,490+AC0-RCJ+AC0-024
29,3,+ACI-J4, J5, J6+ACI-,Jack,Qingpu,PJ398SM,Thonk,PJ398SM
30,5,+ACI-VR1, VR2, VR3, VR4, VR5+ACI-,1k potentiometer,Alpha,B1K +AC0- D shaft +AC0- Alpha Vertical,Thonk,B1K +AC0- D shaft +AC0- Alpha Vertical
31,1,VR6,100k potentiometer,Song Huei,B100K +AC0- Song Huei TALL,Thonk,B100K +AC0- Song Huei TALL
32,1,,CBV001 Main board,Syntonie,CBV001+AF8-REVC,Syntonie,CBV001+AF8-REVC
33,1,,CBV001 Front panel,Syntonie,CBV001+AF8-FP,Syntonie,CBV001+AF8-FP
