Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,2,"C34, C36",47pF,TDK,FG18C0G1H470JNT00,Mouser,810-FG18C0G1H470JNT0
2,1,C38,560pF,TDK,FG18C0G1H561JNT06,Mouser,810-FG18C0G1H561JNT6
3,2,"C7, C8",1nF,TDK,FG18X7R1H102KNT06,Mouser,810-FG18X7R1H102KNT6
4,2,"C35, C37",10nF,TDK,FG18X7R1H103KNT06,Mouser,810-FG18X7R1H103KNT6
5,33,"C3, C4, C5, C6, C10, C13->C33, C39->C45",100nF,TDK,FG18X7R1H104KNT06,Mouser,810-FG18X7R1H104KNT6
6,3,"C1, C2, C9",330nF,TDK,FG18X7R1H334KRT00,Mouser,810-FG18X7R1H334KRT00
7,2,"C11, C12",10uF,Nichicon,USA1V100MDD1TP,Mouser,647-USA1V100MDD1TP
8,1,R58,47R,KOA Speer,MF1/4DCT52R47R0F,Mouser,660-MF1/4DCT52R47R0F
9,2,"R33, R34",75R,KOA Speer,MF1/4DCT52R75R0F,Mouser,660-MF1/4DCT52R75R0F
10,10,"R1, R7, R9, R11, R14, R17, R21, R37, R45, R60",499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F
11,18,"R2, R4, R5, R6, R8, R10, R12, R13, R15, R22, R26, R38, R46, R54, R55, R56, R61, R69",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
12,2,"R47, R57",1.5k,KOA Speer,MF1/4DCT52R1501F,Mouser,660-MF1/4DCT52R1501F
13,1,R62,3.9k,KOA Speer,MF1/4DCT52R3901F,Mouser,660-MF1/4DCT52R3901F
14,5,"R25, R28, R48, R63, R70",4.99k,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F
15,21,"R19, R23, R29, R30, R32, R35, R39, R40, R41, R42, R43, R49, R50, R51, R52, R53, R64, R65, R66, R67, R68",10k,KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F
16,1,R24,22k,KOA Speer,MF1/4DCT52R2202F,Mouser,660-MF1/4DCT52R2202F
17,1,R31,24.9k,KOA Speer,MF1/4DCT52R2492F,Mouser,660-MF1/4DCT52R2492F
18,1,R20,56k,KOA Speer,MF1/4DCT52R5602F,Mouser,660-MF1/4DCT52R5602F
19,5,"R36, R44, R59, R72, R73",100k,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4D52R1003F
20,1,R18,680k,KOA Speer,MF1/4DCT52R6803F,Mouser,660-MF1/4DCT52R6803F
21,1,R71,4.7M,KOA Speer,RK1/4DC4704F,Mouser,660-RK1/4DC4704F
22,1,R27,4x10k array,Bourns,4605X-AP1-103LF,Mouser,652-4605X-AP1-103LF
23,1,R16,DNP,,,,
24,1,P3,2k trimmer,Bourns,3296W-1-202LF,Mouser,652-3296W-1-202LF
25,1,P1,5k trimmer,Bourns,3296W-1-502LF,Mouser,652-3296W-1-502LF
26,1,P2,25k trimmer,Bourns,3296W-1-253LF,Mouser,652-3296W-1-253LF
27,1,VR1,10k tall trimmer,Song Huei,B10K - Song Huei TALL,Thonk,B10K - Song Huei TALL
28,4,"VR2, VR3, VR4, VR5",10k potentiometer,Alpha,B10K - D shaft - Alpha Vertical,Thonk,B10K - D shaft - Alpha Vertical
29,1,VR6,1k potentiometer,Alpha,B1K - D shaft - Alpha Vertical,Thonk,B1K - D shaft - Alpha Vertical
30,2,"D1, D2",1N4001,Vishay,1N4001-E3/54,Mouser,625-1N4001-E3/54
31,6,"D3, D4, D5, D6, D7, D8",1N5711,STMicroelectronics,1N5711,Mouser,511-1N5711
32,2,"FB1, FB2",Ferrite,Fair-Rite,2743001111,Mouser,623-2743001111
33,2,"Q1, Q2",2N3904,ON Semi,2N3904BU,Mouser,512-2N3904BU
34,1,Q3,2N7000,ON Semi,2N7000,Mouser,512-2N7000
35,6,"U1, U3, U5, U8, U17, U18",LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
36,1,U2,TDA4565,(obsolete supplied with pcb set),,,
37,2,"U4, U9",CD4053,Texas Instruments,CD4053BE,Mouser,595-CD4053BE
38,1,U6,LM1881N,(obsolete supplied with pcb set),,,
39,1,U7,74HC4538,Texas Instruments,CD74HC4538E,Mouser,595-CD74HC4538E
40,2,"U10, U13",74HC86,Texas Instruments,SN74HC86N,Mouser,595-SN74HC86N
41,1,U11,CD4006,(obsolete supplied with pcb set),,,
42,1,U12,CD4051,Texas Instruments,CD4051BE,Mouser,595-CD4051BE
43,1,U14,LM7805,Texas Instruments,LM7805CT/NOPB,Mouser,926-LM7805CT/NOPB
44,1,U15,TL431,Texas Instruments,TL431BQLPR,Mouser,595-TL431BQLPR
45,2,"U16, U19",TL072,Texas Instruments,TL072IP,Mouser,595-TL072IP
46,1,U20,CD4046,Texas Instruments,CD4046BE,Mouser,595-CD4046BE
47,1,J1,10pin power connector,Wurth Elektronik,61201021621,Mouser,710-61201021621
48,2,"J2, J3",RCJ-024,CUI Devices,RCJ-024,Mouser,490-RCJ-024
49,3,"J4, J5, J6",PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
50,3,"S1, S2, S6",EG2301A,E-Switch,EG2301A,Mouser,612-EG2301A
51,3,"S3, S4, S5",EG2201A,E-Switch,EG2201A,Mouser,612-EG2201A
52,2,"XS1, XS2",10pin socket,GTK,10 Female Pin Header,Tayda,A-1306
53,2,"XS1, XS2",10pin header,Tayda,40pin header (take one and break appart),Tayda,A-4662
54,4,,11mm spacer,(supplied with pcb set),,,
55,8,,6mm M3 screw,Tayda,M3 Stainless Screw 3x6mm,Tayda,A-4372
56,5,,Sifam knobs+cap,Sifam,Black Small Skirt D + White cap,Thonk,Black Small Skirt D + White cap
57,1,,Trimmer cap,Thonk,White Tall Trimmer Topper - Plastic Knob,Thonk,White Tall Trimmer Topper - Plastic Knob
58,1,CBV002_Main_RevF,CBV002 Mainboard,Syntonie,,Syntonie,
59,1,CBV002_Ctrl_RevF,CBV002 Controlboard,Syntonie,,Syntonie,
60,1,CBV002_FP,CBV002 Front Panel,Syntonie,,Syntonie,
