Line Item,Quantity,Reference Designators,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,4,"R69, R1', R3', R6'","0R link, user resistor legs as jumpers",,,Mouser,
2,2,"R93, R94",10R,Yageo,CFR-25JB-52-10R,Mouser,603-CFR-25JB-52-10R
3,1,R66,75R,Yageo,CFR-25JB-52-75R,Mouser,603-CFR-25JB-52-75R
4,1,R90,100R,Yageo,CFR-25JB-52-100R,Mouser,603-CFR-25JB-52-100R
5,1,R18,470R,Yageo,CFR-25JB-52-470R,Mouser,603-CFR-25JB-52-470R
6,5,"R7, R14, R68, R5', R7'",1k,Yageo,CFR-25JB-1K0,Mouser,603-CFR-25JB-1K0
7,2,"R88, R89",1.2k,Yageo,CFR-25JT-52-1K2,Mouser,603-CFR-25JT-52-1K2
8,2,"R91, R92",3.3k,Yageo,CFR-25JT-52-3K3,Mouser,603-CFR-25JT-52-3K3
9,2,"R5, R12",4.7k,Yageo,CFR-25JT-52-4K7,Mouser,603-CFR-25JT-52-4K7
10,3,"R15, R4', R8'",5.6k,Yageo,CFR-25JR-52-5K6,Mouser,603-CFR-25JR-525K6
11,3,"R54, R58, R62",6.8k,Yageo,CFR-25JR-52-6K8,Mouser,603-CFR-25JR-52-6K8
12,7,"R6, R13, R16, R19, R67, Ra, Rb",10k,Yageo,CFR-25JB-52-10K,Mouser,603-CFR-25JB-5210K
13,2,"R87, R2'",15k,Yageo,CFR-25JR-52-15K,Mouser,603-CFR-25JR-5215K
14,4,"R3, R4, R10, R11",22k,Yageo,CFR-25JR-52-22K,Mouser,603-CFR-25JR-5222K
15,3,"R56, R60, R64",27k,Yageo,CFR-25JR-52-27K,Mouser,603-CFR-25JR-5227K
16,2,"R1, R8",100k,Yageo,CFR-25JR-52-100K,Mouser,603-CFR-25JR-52-100K
17,1,R17,680k,Yageo,CFR-25JB-52-680K,Mouser,603-CFR-25JB-52-680K
19,2,"R2, R9",1M,Yageo,CFR-25JR-52-1M,Mouser,603-CFR-25JR-521M
20,2,"RA1, RA2",1k resistor array,Bourns,4605X-AP1-102LF,Mouser,652-4605X-AP1-102LF
21,1,C19,560pF,TDK,FG28C0G1H561JNT00,Mouser,810-FG28C0G1H561JNT00
22,3,"C17, C18, C20",1nF,TDK,FG28X7R2A102KNT00,Mouser,810-FG28X7R2A102KNT00
23,2,"C60, C61",2.2nF,TDK,FG28X7R1H223KNT00,Mouser,810-FG28X7R1H223KNT0
24,16,"C1', C2, C3, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C59",0.1uF,TDK,FG18X7R1H104KNT06,Mouser,810-FG18X7R1H104KNT06
25,2,"C30, C31",0.33uF,TDK,FG24X7R1H334KNT06,Mouser,810-FG24X7R1H334KNT06
26,3,"C38, C39, C40",0.47uF,TDK,FG28X7R1H474KRT00,Mouser,810-FG28X7R1H474KRT00
27,6,"C32, C33, C34, C35, C36, C37",1uF,Nichicon,UVR2C010MED1TD,Mouser,647-UVR2C010MED1TD
28,6,"C1, C4, C41, C42, C43, C57",10uF,Nichicon,UMA1C100MDD1TP,Mouser,647-UMA1C100MDD1TP
29,1,C58,47uF,Nichicon,UMA1C470MDD1TP,Mouser,647-UMA1C470MDD1TP
