Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,3,"R39, R40, R41",560R,Yageo,MFR-25FTE52-560R,Mouser,603-MFR-25FTE52-560R
2,6,"R21, R22, R29, R30, R37, R38",1k,Yageo,MFR-25FTE52-1K,Mouser,603-MFR-25FTE52-1K
3,4,"R9, R16, R24, R32,",1.8k,Yageo,MFR-25FTE52-1K8,Mouser,603-MFR-25FTE52-1K8
4,1,R2,2.7k,Yageo,MFR-25FTE52-2K7,Mouser,603-MFR-25FTE52-2K7
5,1,R42,3k,Yageo,MFR-25FTE52-3K,Mouser,603-MFR-25FTE52-3K
6,3,"R15, R23, R31",3.3k,Yageo,MFR-25FTE52-3K3,Mouser,603-MFR-25FTE52-3K3
7,1,R43,3.6k,Yageo,MFR-25FTE52-3K6,Mouser,603-MFR-25FTE52-3K6
8,1,R1,7.5k,Yageo,MFR-25FTE52-7K5,Mouser,603-MFR-25FTE52-7K5
9,1,R8,9.1k,Yageo,MFR-25FTE52-9K1,Mouser,603-MFR-25FTE52-9K1
10,3,"R18, R26, R34",49.9k,Yageo,MFR-25FTE52-49K9,Mouser,603-MFR-25FTE52-49K9
11,19,"R3, R4, R5, R6, R7, R10, R11, R12, R13, R14, R17, R19, R20, R25, R27, R28, R33, R35, R36",100k,Yageo,MFR-25FTE52-100K,Mouser,603-MFR-25FTE52-100K
12,10,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10",100nF,TDK,FG18X7R1H104KNT06,Mouser,810-FG18X7R1H104KNT06
13,5,"C11, C12, C13, C14, C15",10uF,Nichicon,UMA1C100MDD1TP,Mouser,647-UMA1C100MDD1TP
14,3,"Q1, Q2, Q3",2N7000,ON Semiconductor,2N7000,Mouser,512-2N7000
15,5,"U1, U2, U3, U4, U5",LM6172/TL072,Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
16,5,"VR1, VR2, VR3, VR4, VR5",1k potentiometer,Bourns,PTV09A-4025F-B102,Mouser,652-PTV09A-4025FB102
17,5,"VR6, VR7, VR8, VR9, VR10",100k potentiometer,Song Huei,,Thonk,B100K LINEAR
18,5,"J1, J2, J3, J4, J5",PJ398SM,Thonk,PJ398SM,Thonk,PJ398SM
19,6,"S1, S2, S3, S4, S5, S6",DPDT Slide Switch,E-Switch,EG2201B,Mouser,612-EG2201B
20,1,S7,6PDT Slide Switch,E-Switch,EG6201,Mouser,612-EG6201
21,1,"XS1, XS2, XS3, XS4",36pin connector to break,3M,929834-01-36-RK,Mouser,517-929834-01-36-RK
