Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,1,R1,75R,Yageo,MFR-25FTE52-75R,Mouser,603-MFR-25FTE52-75R
2,1,R40,100R,Yageo,MFR-25FTE52-100R,Mouser,603-MFR-25FTE52-100R
3,2,"R10, R21",680R,Yageo,MFR-25FTE52-680R,Mouser,603-MFR-25FTE52-680R
4,1,R18,820R,Yageo,MFR-25FTE52-820R,Mouser,603-MFR-25FTE52-820R
5,12,"R2, R3, R6, R7, R11, R12, R14, R15, R16, R17, R33, R34",1k,Yageo,MFR-25FTE52-1K,Mouser,603-MFR-25FTE52-1K
6,1,R20,1.5k,Yageo,MFR-25FTE52-1K5,Mouser,603-MFR-25FTE52-1K5
7,1,R35,2.2k,Yageo,MFR-25FTE52-2K2,Mouser,603-MFR-25FTE52-2K2
8,1,R9,3.9k,Yageo,MFR-25FTE52-3K9,Mouser,603-MFR-25FTE52-3K9
9,2,"R8, R38",4.7k,Yageo,MFR-25FTE52-4K7,Mouser,603-MFR-25FTE52-4K7
10,3,"R30, R31, R32",6.2k,Yageo,MFR-25FTE52-6K2,Mouser,603-MFR-25FTE52-6K2
11,2,"R36, R39",10k,Yageo,MFR-25FTE52-10K,Mouser,603-MFR-25FTE52-10K
12,1,R19,12k,Yageo,MFR-25FTE52-12K,Mouser,603-MFR-25FTE52-12K
13,1,R22,15k,Yageo,MFR-25FTE52-15K,Mouser,603-MFR-25FTE52-15K
14,3,"R24, R25, R26",47k,Yageo,MFR-25FTE52-47K,Mouser,603-MFR-25FTE52-47K
15,3,"R27, R28, R29",220k,Yageo,MFR-25FTE52-220K,Mouser,603-MFR-25FTE52-220K
16,1,R23,680k,Yageo,MFR-25FTE52-680K,Mouser,603-MFR-25FTE52-680K
17,1,RA1,680R 7x bussed resistors array ,Bourns,4608X-101-681LF,Mouser,652-4608X-1LF-680
18,1,C15,30pF variable capacitor,,,,Included in the kit/pcb set
19,3,"C16, C17, (C1, optional)",220pF,TDK,FG18C0G1H221JNT00,Mouser,810-FG18C0G1H221JNT0
20,1,C6,470pF,TDK,FG18C0G1H471JNT00 ,Mouser,810-FG18C0G1H471JNT0 
21,1,C11,1nF,TDK,FG18C0G1H102JNT00,Mouser,810-FG18C0G1H102JNT0
22,1,C14,1.2nF,TDK,FG18C0G1H122JNT06,Mouser,810-FG18C0G1H122JNT06
23,2,"C10, C18",10nF,TDK,FG18C0G1H103JNT06,Mouser,810-FG18C0G1H103JNT6
24,16,"C4, C5, C12, C13, C3*, C6*, C7*, C8*, C9*, C10*, C11*, C12*, C13*, C14*, C15*, C16*",100nF,TDK,FG18X7R1H104KNT06,Mouser,810-FG18X7R1H104KNT06
25,5,"C2, C3, C7, C8, C9",10uF,Nichicon,UMA1C100MDD1TP,Mouser,647-UMA1C100MDD1TP
26,3,"C2*, C5*, C17*",100uF,Nichicon,UVR1H101MPD,Mouser,647-UVR1H101MPD
27,2,"C1*, C4*",2200uF,Nichicon,UVY1V222MHD,Mouser,647-UVY1V222MHD
28,2,"D1, D2",1N4148,ON Semiconductor / Fairchild,1N4148,Mouser,512-1N4148
29,6,"D1*, D2*, D3*, D4*, D5*, D6*",1N4001,Vishay Semiconductors,1N4001-E3/54,Mouser,625-1N4001-E3/54
30,1,Q1,2N3904,Central Semiconductor,2N3904,Mouser,610-2N3904
31,1,P1,100k trimmer,Bourns,3296W-1-104LF,Mouser,652-3296W-1-104LF
32,1,REG1,LM7812,Texas Instruments,LM7812CT/NOPB,Mouser,926-LM7812CT/NOPB
33,1,REG2,LM7912,Texas Instruments,LM7912CT/NOPB,Mouser,926-LM7912CT/NOPB
34,1,U1,LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
35,1,U2,LM1881,Texas Instruments,LM1881N/NOPB,Mouser,926-LM1881N/NOPB
36,2,"U3, U4",LM339N,Texas Instruments,LM339AN,Mouser,595-LM339AN
37,1,U5,CD4532,Texas Instruments,CD4532BE,Mouser,595-CD4532BE
38,2,"U6, U7",CD4052,Texas Instruments,CD4052BE,Mouser,595-CD4052BE
39,1,U8,CD4070,Texas Instruments,CD4070BE,Mouser,595-CD4070BE
40,1,U9,MC1377,Motorola,MC1377P,Obsolete,Included in kit/pcb set
41,1,S1,DPDT DIP Switch,CTS,206-122,Mouser,774-206122
42,1,S1*,SPDT Slide Switch,E-Switch,EG1224,Mouser,612-EG1224
43,1,J1,DC Connector,Kobiconn,163-7620E-E,Mouser,163-7620E-E
44,2,"J2, J3",RCA Connnector,CUI,RCJ-014,Mouser,490-RCJ-014
45,1,Y1,4.43MHz crystal,ECS,ECS-44-20-4X,Mouser,520-HCU443-20X
46,1,Y2,3.58MHz crystal,ABRACON,ABL-3.579545MHZ-B2 ,Mouser,815-ABL-3.579545B2 
47,2,"XS1, XS2",6pin 2.54mm connector female,3M,929870-01-06-RA,Mouser,517-929870-01-06-RA
48,2,"XS3, XS4",4pin 2.54mm connector female,3M,929870-01-04-RA,Mouser,517-929870-01-06-RA
49,1,FFG Mainboard,Circuit board,Syntonie,Included in kit/pcb set,,Included in kit/pcb set
