Line Item,Quantity,Reference Designators,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,2,"R3, R16",Carbon Film Resistors - Through Hole 1/4W 75 Ohm 5%,Yageo,CFR-25JB-52-75R,Mouser,603-CFR-25JB-52-75R
2,4,"R1, R2, R15, R100",Carbon Film Resistors - Through Hole 1/4W 1K Ohm 5%,Yageo,CFR-25JB-1K0,Mouser,603-CFR-25JB-1K0 
3,2,"R8, R13",Carbon Film Resistors - Through Hole 1/4W 1.5K Ohm 5%,Yageo,CFR-25JB-52-1K5,Mouser,603-CFR-25JB-52-1K5 
4,1,R24,Carbon Film Resistors - Through Hole 1/4W 1.8K Ohm 5%,Yageo,CFR-25JB-52-1K8,Mouser,603-CFR-25JB-52-1K8 
5,2,"R21, R26",Carbon Film Resistors - Through Hole 1/4W 2.2K Ohm 5%,Yageo,CFR-25JB-52-2K2 ,Mouser,603-CFR-25JB-52-2K2 
6,3,"R9, R102, R103",Carbon Film Resistors - Through Hole 1/4W 3.3K Ohm 5%,Yageo,CFR-25JB-52-3K3 ,Mouser,603-CFR-25JB-52-3K3 
7,1,R101,Carbon Film Resistors - Through Hole 1/4W 3.9K Ohm 5%,Yageo,CFR-25JB-52-3K9 ,Mouser,603-CFR-25JB-52-3K9 
8,2,"R4, R20",Carbon Film Resistors - Through Hole 1/4W 4.7K Ohm 5% ,Yageo,CFR-25JB-52-4K7 ,Mouser,603-CFR-25JB-52-4K7 
9,2,"R12, R23",Carbon Film Resistors - Through Hole 1/4W 5.6K Ohm 5%,Yageo,CFR-25JB-52-5K6 ,Mouser,603-CFR-25JB-52-5K6 
10,2,"R19, R22",Carbon Film Resistors - Through Hole 1/4W 10K Ohm 5%,Yageo,CFR-25JB-52-10K ,Mouser,603-CFR-25JB-52-10K 
11,3,"R5, R10, R11",Carbon Film Resistors - Through Hole 1/4W 15K Ohm 5%,Yageo,CFR-25JB-52-15K ,Mouser,603-CFR-25JB-52-15K 
12,1,R14,Carbon Film Resistors - Through Hole 1/4W 22K Ohm 5%,Yageo,CFR-25JB-52-22K ,Mouser,603-CFR-25JB-52-22K 
