Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,1,C7,560pF,TDK,FG18C0G1H561JNT06,Mouser,810-FG18C0G1H561JNT6
2,25,"C1, C2, C3, C4, C5, C6, C8, C9,
C12, C13, C14, C15, C16, C18, 
C19, C20, C21, C22, C23, C24,
C25, C26, C27, C28, C29",100nF,TDK,FG18X7R1H104KNT06 ,Mouser,810-FG18X7R1H104KNT06
3,1,C17,330nF,TDK,FG24X7R1H334KNT06,Mouser,810-FG24X7R1H334KNT06
4,2,"C10, C11",10uF,Nichicon,USA1V100MDD1TP,Mouser,647-USA1V100MDD1TP
5,2,"D1, D2",1N4001,Vishay,1N4001-E3/54,Mouser,625-1N4001-E3/54
6,2,"D3, D4",1N5711,STMicroelectronics,1N5711,Mouser,511-1N5711
7,4,"R1, R5, R9, R61",75R,KOA Speer,MF1/4DCT52R75R0F,Mouser,660-MF1/4DCT52R75R0F
8,2,"R13, R16",100R,KOA Speer,MF1/4DCT52R1000F,Mouser,660-MF1/4D52R1000F
9,1,R41,215R,KOA Speer,MF1/4DCT52R2150F,Mouser,660-MF1/4DCT52R2150F
10,20,"R17, R18, R19, R21, R22, R23,
R39, R40, R42, R44, R45, R46,
R47, R48, R53, R54, R55, R56,
R57, R58",499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F
11,1,R49,698R,KOA Speer,MF1/4DCT52R6980F,Mouser,660-MF1/4DCT52R6980F
12,1,R43,768R,KOA Speer,MF1/4DCT52R7680F,Mouser,660-MF1/4DCT52R7680F
13,1,R52,976R,KOA Speer,MF1/4DCT52R9760F,Mouser,660-MF1/4DCT52R9760F
14,11,"R24, R32, R33, R34, R35, R36,
R37, R38, R50, R59, R60",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
15,1,R51,2.7k,KOA Speer,MF1/4DCT52R2701F,Mouser,660-MF1/4DCT52R2701F
16,1,R62,4.99k,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F
17,14,"R3, R7, R11, R14, R15, R25,
R26, R27, R28, R29, R30, R31, R65, R66",10k,KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F
18,1,R64,24.9k,KOA Speer,MF1/4DCT52R2492F2,Mouser,660-MF1/4DCT52R2492F
19,8,"R2, R4, R6, R8, R10, R12, R20, R63",100k,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4D52R1003F
20,4,"Q1, Q2, Q3, Q4",2N3904,Onsemi / Fairchild,2N3904BU,,512-2N3904BU
21,1,U1,LMH1980 (pre-soldered),,,,
22,1,U2,CD4053,Texas Instuments,CD4053BE,Mouser,595-CD4053BE
23,6,"U3, U4, U5, U6, U7, U9",LM6172,Texas Instuments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
24,1,U8,TL074,Texas Instuments,TL074CN,Mouser,595-TL074CN
25,1,U10,TL431,Texas Instuments,TL431BQLPR ,Mouser,"595-TL431BQLPR
"
26,1,U11,78L05,Texas Instuments,UA78L05ACLP,Mouser,595-UA78L05ACLP
27,2,"FB1, FB2",Ferrite,Fair-Rite,2743001111,Mouser,623-2743001111
28,1,J1,RCJ-026,CUI Devices,RCJ-026,Mouser,490-RCJ-026
29,1,J2,RCJ-025,CUI Devices,RCJ-025,Mouser,490-RCJ-025
30,1,J3,RCJ-022,CUI Devices,RCJ-022,Mouser,490-RCJ-022
31,6,"J4, J5, J6, J7, J8, J9",PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
32,1,J10,10pin power connector,Wurth Elektronik,61201021621,Mouser,710-61201021621
33,1,J11,RCJ-021,CUI Devices,RCJ-021,Mouser,490-RCJ-021
34,2,"VR1, VR2",10k potentiometer,Alpha ,B10K - D shaft – Alpha Vertical ,Thonk,"B10K - D shaft - Alpha Vertical
"
35,6,"XS1, XS2, XS3, XS4, XS5, XS6",6pin header,Tayda,A-197,Tayda,A-197
36,6,"XS1, XS2, XS3, XS4, XS5, XS6",6pin socket,Tayda,A-1389,Tayda,A-1389
37,2,,10mm FF spacer,Wurth Elektronik,970100354,Mouser,710-970100354
38,1,,11mm FF spacer,Wurth Elektronik,970110324,Mouser,710-970110324
39,1,,11mm MF spacer,Wurth Elektronik,971110365,Mouser,710-971110365
40,5,,6mm M3 screw,Keystone,9191-3,Mouser,534-9191-3
41,2,,Sifam knob,Thonk,Black Small Skirt D - Sifam Plastic Knob,Thonk,Black Small Skirt D - Sifam Plastic Knob
42,2,,Sifam cap blue,Thonk,Small Blue - Sifam Plastic Cap,Thonk,Small Blue - Sifam Plastic Cap
43,1,,VU003B_Main_RevB,,,,
44,1,,VU003B_Control_RevB,,,,
45,1,,VU003B_FP_RevB,,,,
