Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,6,"C1, C2, C3, C4, C5, C6",100nF,TDK,FG18X7R1H104KNT06 ,Mouser,810-FG18X7R1H104KNT06
2,2,"C7, C8",10uF,Nichicon,UMA1C100MDD1TP,Mouser,647-UMA1C100MDD1TP
3,2,"D1, D2",1N4001,Vishay	,1N4001-E3/54,Mouser,625-1N4001-E3/54
4,2,"FB1, FB2",Ferrite bead,Fair-Rite,2743001111,Mouser,623-2743001111
5,4,"R1, R6, R11, R16",100k,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4DCT52R1003F
6,8,"R2, R5, R7, R10, R12,  R15, R17, R20",499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F
7,8,"R3, R4, R8, R9, R13, R14,  R18, R19",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
8,1,R21,4.99k,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F
9,1,R22,24.9k,KOA Speer,MF1/4DCT52R2492F,Mouser,660-MF1/4DCT52R2492F
10,1,R23,10k,KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F
11,2,"U1, U2",LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
12,1,U3,TL431,Texas Instruments,TL431BQLPR,Mouser,595-TL431BQLPR
13,1,U4,TL072,Texas Instruments,TL072IP,Mouser,595-TL072IP
14,8,"J1, J2, J3, J4, J5, J6, J7, J8",PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
15,1,J9,10pin power connector,Wurth Elektronik,61201021621,Mouser,710-61201021621
16,2,"XS1, XS2 (Control board)",6pin female connector,GTK,A-1389,Tayda,A-1389
17,2,"XS1, XS2 (Main board) ",6pin male connector (to break appart),GTK,40 Pin Header Strip,Tayda,A-197
18,1,,VU004 Control board,Syntonie,VU004_REVA_Controlboard,Syntonie,VU004_REVA_Controlboard
19,1,,VU004 Main board,Syntonie,VU004_REVA_Mainboard,Syntonie,VU004_REVA_Mainboard
20,1,,VU004 Front Panel,Syntonie,VU004_REVA_FP,Syntonie,VU004_REVA_FP
