Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,12,"C2, C4->C12, C15, C16",100nF,TDK,FG18X7R1H104KNT06,Mouser,810-FG18X7R1H104KNT06
2,2,"C1, C3",330nF,TDK,FG18X7R1H334KRT00,Mouser,810-FG18X7R1H334KRT00
3,2,"C13, C14",10uF,Nichicon,USA1V100MDD1TP,Mouser,647-USA1V100MDD1TP
4,2,"FB1, FB2",Ferrite,Fair-Rite,2743001111,Mouser,623-2743001111
5,6,"R15, R16, R18, R32, R33, R35",220R,KOA Speer,MF1/4DCT52R2200F,Mouser,660-MF1/4DCT52R2200F
6,2,"R14, R31",390R,KOA Speer,MF1/4DCT52R3900F,Mouser,660-MF1/4DCT52R3900F
7,4,"R2, R4, R5, R22",499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F
8,2,"R11, R28",680R,KOA Speer,MF1/4DCT52R6800F,Mouser,660-MF1/4DCT52R6800F
9,6,"R6, R7, R23, R24, R42, R43",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
10,4,"R19, R21, R36, R38",1.1k,KOA Speer,MF1/4DCT52R1101F,Mouser,660-MF1/4DCT52R1101F
11,2,"R10, R27",2.2k,KOA Speer,MF1/4DCT52R2201F,Mouser,660-MF1/4DCT52R2201F
12,4,"R12, R13, R29, R30",4.7k,KOA Speer,MF1/4DCT52R4701F,Mouser,660-MF1/4DCT52R4701F
13,1,R39,4.99k,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F
14,2,"R20, R37",6.2k,KOA Speer,MF1/4DCT52R6201F,Mouser,660-MF1/4DCT52R6201F
15,6,"R8, R9, R17, R25, R26, R34",10k,KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F
16,1,R41,20k,KOA Speer,MF1/4DCT52R2002F,Mouser,660-MF1/4DCT52R2002F
17,1,R40,24.9k,KOA Speer,MF1/4DCT52R2492F,Mouser,660-MF1/4DCT52R2492F
18,1,"R1, R3",100k,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4D52R1003F
19,2,"D1, D2",1N4001,Vishay,1N4001-E3/54,Mouser,625-1N4001-E3/54
20,2,"Q1, Q2",BCM847,(pre-soldered to pcb),,,
21,3,"U1, U2, U3",LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
22,2,"U4 , U8",TL072,Texas Instruments,TL072IP,Mouser,595-TL072IP
23,1,U5,78L05,Texas Instruments,UA78L05ACLP,Mouser,595-UA78L05ACLP
24,1,U6,79L05,Texas Instruments,MC79L05ACLPR,Mouser,595-MC79L05ACLPR
25,1,U7,TL431,Texas Instruments,TL431BQLPR,Mouser,595-TL431BQLPR
26,2,"VR1, VR3",10k potentiometer,Alpha,B10K - D shaft - Alpha Vertical,Thonk,B10K - D shaft - Alpha Vertical
27,2,"VR2, VR4",10k tall trimmer,Song Huei,B10K - Song Huei TALL,Thonk,B10K - Song Huei TALL
28,4,"J1, J2, J3, J4",PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
29,1,J5,10pin power connector,Wurth Elektronik,61201021621,Mouser,710-61201021621
30,2,"XS1, XS2",8pin 2.54mm header,TE Connectivity,103741-8,Mouser,571-103741-8
31,2,"XS1, XS2",8pin 2.54mm socket,3M,929850-01-08-RA,Mouser,517-929850-01-08-RA
32,2,"XS1, XS2",8pin 2.54mm stackable,Preci-dip,801-87-008-53-001101,Mouser,437-8018700853001101
33,2,,M3 screw 6mm,Keystone,9191-3,Mouser,534-9191-3
34,1,,M3 spacer FF 12mm,Wurth Elektronik,970100354,Mouser,710-970100354
35,1,,M3 spacer MF 10mm,Wurth Elektronik,971100324,Mouser,710-971100324
36,2,,Sifam knobs+cap,Sifam,Black Small Skirt D + Blue cap,Thonk,Black Small Skirt D + Blue cap
37,1,VU005_FP,VU005 Front panel,Syntonie,,Syntonie,
38,1,VU005_Control_RevC,VU005 Controlboard,Syntonie,,Syntonie,
39,1,VU005_Main_RevD,VU005 Mainboard,Syntonie,,Syntonie,
40,1,VU005_Power_RevC,VU005 Powerboard,Syntonie,,Syntonie,
,,,,,,,
"
",,,,,,,
