Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,2,"C5�, C6",100pF,TDK,FG18C0G1H101JNT06,Mouser,810-FG18C0G1H101JNT6
2,2,"C1, C2",3.3nF,TDK,FG18C0G1H332JNT06,Mouser,810-FG18C0G1H332JNT6
3,10,"C7, C8, C9, C10, C11, C12, C13, C14, C17, C18",100nF,TDK,FG18X7R1H104KNT06,Mouser,810-FG18X7R1H104KNT06
4,2,"C3, C4",1uF,Wima,MKS0B041000F00KSSD,Mouser,505-MKS021.0/50/10
5,2,"C15, C16",10uF,Nichicon,USA1V100MDD1TP,Mouser,647-USA1V100MDD1TP
6,5,"R1, R2, R3, R4, R8",499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F
7,4,"R20, R21, R26, R27",820R,KOA Speer,MF1/4DCT52R8200F,Mouser,660-MF1/4DCT52R8200F
8,2,"R11, R12",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
9,1,R18,1.8k,KOA Speer,MF1/4DCT52R1801F,Mouser,660-MF1/4DCT52R1801F
10,2,"R29, R31",2.2k,KOA Speer,MF1/4DCT52R2201F,Mouser,660-MF1/4DCT52R2201F
11,3,"R34, R40, R44",4.99k,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F
12,2,"R16, R17",5.6k,KOA Speer,MF1/4DCT52R5601F,Mouser,660-MF1/4DCT52R5601F
13,16,"R6, R13, R14, R15�, R19, R33, R35, R36, R37, R39, R41, R42, R43, R46, R47, R48",10k,KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F
14,1,R45,24.9k,KOA Speer,MF1/4DCT52R2492F,Mouser,660-MF1/4DCT52R2492F
15,1,R30,33k,KOA Speer,MF1/4DCT52R3302F,Mouser,660-MF1/4DCT52R3302F
16,1,R9,49.9k,KOA Speer,MF1/4DCT52R4992F,Mouser,660-MF1/4DCT52R4992F
17,2,"R22, R23",68k,KOA Speer,MF1/4DCT52R6802F,Mouser,660-MF1/4DCT52R6802F
18,2,"R32, R38",82k,KOA Speer,MF1/4DCT52R8202F,Mouser,660-MF1/4DCT52R8202F
19,5,"R5, R7, R10, R25, R28",100k,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4D52R1003F
20,1,R24,2.2M,Yageo,MFR-25FTE52-2M2,Mouser,603-MFR-25FTE52-2M2
21,2,"D1, D2 ",5.1V Zener,Vishay,TZX5V1C-TR,Mouser,78-TZX5V1C
22,2,"D3, D4",1N4001,Vishay,1N4001-E3/54,Mouser,625-1N4001-E3/54
23,1,Q1,BCM857,(pre-soldered to pcb),,,
24,2,"FB1, FB2",Ferrite,Fair-Rite,2743001111,Mouser,623-2743001111
25,2,"U1, U2",TL074,Texas Instruments,TL074CN,Mouser,595-TL074CN
26,1,U3,LM13700,Texas Instruments,LM13700N/NOPB,Mouser,926-LM13700N/NOPB
27,2,"U4, U6",TL072,Texas Instruments,TL072IP,Mouser,595-TL072IP
28,1,U5,TL431,Texas Instruments,TL431BQLPR,Mouser,595-TL431BQLPR
29,2,"VR1, VR2",10k potentiometer,Alpha,B10K - D shaft - Alpha Vertical,Thonk,B10K - D shaft - Alpha Vertical
30,1,VR3,10k tall trimmer,Song Huei,B10K - Song Huei TALL,Thonk,B10K - Song Huei TALL
31,1,S1,EG2301,E-Switch,EG2301A,Mouser,612-EG2301A
32,5,"J1, J2, J3, J4, J5",PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
33,1,J6,10pin connector,Wurth Elektronik,61201021621,Mouser,710-61201021621
34,2,"XS1, XS2",8pin 2.54mm header,TE Connectivity,103741-8,Mouser,571-103741-8
35,2,"XS1, XS2",8pin 2.54mm stackable ,Preci-dip,801-87-008-53-001101,Mouser,437-8018700853001101
36,2,"XS1, XS2",8pin 2.54mm socket,3M,929850-01-08-RA,Mouser,517-929850-01-08-RA
37,1,XS3,2pin header,TE Connectivity,103741-2,Mouser,571-103741-2
38,1,XS3,2pin socket,3M,929850-01-02-RA,Mouser,517-929850-01-02-RA
39,1,,M3 spacer FF 12mm,Wurth Elektronik,970100354,Mouser,710-970100354
40,1,,M3 spacer MF 10mm,Wurth Elektronik,971100324,Mouser,710-971100324
41,2,,M3 6mm screws,Keystone,9191-3,Mouser,534-9191-3
42,2,,Sifam knobs+cap,Sifam,Black Small Skirt D + Blue cap,Thonk,Black Small Skirt D + Blue cap
43,1,VU006_FP,VU006 Front Panel,Syntonie,,Syntonie,
44,1,VU006_Control_RevB,VU006 Controlboard,Syntonie,,Syntonie,
45,1,VU006_Main_RevB,VU006 Mainboard,Syntonie,,Syntonie,
46,1,VU006_Power_RevC,VU006 Powerboard,Syntonie,,Syntonie,
