,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
,23,"C1, C2, C3, C4, C5, C6, C7,
C8, C9, C10, C11, C12, C13,
C14, C15, C16, C17, C18, C19
C20, C22, C24, C27",100nF,TDK,FG18X7R1H104KNT06 ,Mouser,810-FG18X7R1H104KNT06
,2,"C21, C23",330nF,TDK,FG24X7R1H334KNT06,Mouser,810-FG24X7R1H334KNT06
,2,"C25, C26",10uF,Panasonic,ECE-A1VKA100I,Mouser,667-ECE-A1VKA100I
,3,"R7, R8, R9",75R,KOA Speer,MF1/4DCT52R75R0F,Mouser,660-MF1/4DCT52R75R0F
,8,"R1, R3, R5, R40, R41, R42, R50, R60",499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F
,37,"R10, R12, R13, R14, R15, R16, R17, 
R18, R19, R21, R22, R23,R24, R25,
R26, R27, R28, R30, R31, R32, R33,
R34, R35, R36, R39, R43, R44, R45,
R46, R47, R48, R49, R52, R55, R58,
R59, R61",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
,3,"R11, R20, R29",1.4k,KOA Speer,MF1/4DCT52R1401F,Mouser,660-MF1/4DCT52R1401F
,1,R54,1.96K,KOA Speer,MF1/4DCT52R1961F,Mouser,660-MF1/4DCT52R1961F
,1,R51,2.37K,KOA Speer,MF1/4DCT52R2371F,Mouser,660-MF1/4DCT52R2371F
,1,R63,3.01K,KOA Speer,MF1/4DCT52R3011F,Mouser,660-MF1/4DCT52R3011F
,1,R38,3.57K,KOA Speer,MF1/4DCT52R3571F,Mouser,660-MF1/4DCT52R3571F
,1,R37,4.99K,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F
,1,R56,5.11K,KOA Speer,MF1/4DCT52R5111F2,Mouser,660-MF1/4DCT52R5111F
,1,R62,5.9K,KOA Speer,MF1/4DCT52R5901F,Mouser,660-MF1/4DCT52R5901F
,1,R57,8.25k,KOA Speer,MF1/4DCT52R8251F,Mouser,660-MF1/4DCT52R8251F
,1,R53,12.4K,KOA Speer,MF1/4DCT52R1242F,Mouser,660-MF1/4DCT52R1242F
,3,"R2, R4, R6",100K,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4D52R1003F
,12,"D1, D2, D3, D4, D5, D6, D7, D8, D9,
D10, D11, D12",1N5711,STMicroelectronics,1N5711,Mouser,511-1N5711
,2,"D13, D14",1N4001,Vishay,1N4001-E3/54,Mouser,625-1N4001-E3/54
,2,"FB1, FB2",Ferrite,Fair-Rite,2743001111,Mouser,623-2743001111
,8,"U1, U2, U3, U4, U5, U9, U10, U11",LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
,1,U6,TL431,Texas Instruments,TL431BQLPR,Mouser,595-TL431BQLPR
,1,U7,ADA4851-4YRUZ ,(pre-soldered),,,
,1,U8,CD4053,Texas Instruments,CD4053BE,Mouser,595-CD4053BE
,1,U12,74HC14,Texas Instruments,SN74HC14AN,Mouser,595-SN74HC14AN
,1,REG1,79L05,STMicroelectronics,L79L05ACZ,Mouser,511-L79L05ACZ
,1,REG2,LM7805,Texas Instruments,LM7805CT/NOPB,Mouser,926-LM7805CT/NOPB
,4,"XS1, XS2, XS3, XS4",6pin header,Tayda,A-197,Tayda,A-197
,2,"XS1, XS2",6pin stackable,Tayda,A-1048,Mouser,A-1048
,4,"XS1, XS2, XS3 XS4",6pin socket,Tayda,A-1389,Tayda,A-1389
,3,"J1, J2, J3",PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
,1,J4,RCA (red),CUI Devices,RCJ-022,Mouser,490-RCJ-022
,1,J5,RCA (green),CUI Devices,RCJ-026,Mouser,490-RCJ-026
,1,J6,RCA (blue),CUI Devices,RCJ-025,Mouser,490-RCJ-025
,1,J7,EURO SYNC 14,Wurth Elektronik,61201421621,Mouser,710-61201421621
,1,J8,EURO POWER 10,Wurth Elektronik,61201021621,Mouser,710-61201021621
,5,,M3 spacer MF 11mm,Wurth Elektronik,971110365,Mouser,710-971110365
,1,,M3 spacer FF 11mm,Wurth Elektronik,970110324,Mouser,710-970110324
,2,,M3 spacer FF 10mm,Wurth Elektronik,970100354,Mouser,710-970100354
,6,,M3 6mm screws,Keystone,9191-3,Mouser,534-9191-3
,1,VU007_FP,VU007 Front Panel,Syntonie,,,
,1,VU007_Control_Rev_E,VU007 Control board,Syntonie,,,
,1,VU007_Clip_Rev_E,VU007 Clip board,Syntonie,,,
,1,VU007_Conv_Rev_E,VU007 Converter board,Syntonie,,,
,1,VU007_Power_Rev_E,VU007 Power board,Syntonie,,,
