Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
,6,"C18, C19, C20, C21, C22, C23",4.7pF ceramic,TDK,FG18C0G1H4R7CNT06,Mouser,810-FG18C0G1H4R7CNT6
,32,"C1, C2, C3, C8, C9, C10, C11,
C12, C13, C24, C25, C26, C27,
C28, C29, C30, C31, C32, C33,
C34, C35, C36, C37, C38, C39,
C40, C41, C42, C46, C48, C49,
C50",100nF ceramic,TDK,FG18X7R1H104KNT06 ,Mouser,810-FG18X7R1H104KNT06
,2,"C45, C47",330nF ceramic,TDK,FG24X7R1H334KNT06,Mouser,810-FG24X7R1H334KNT06
,2,"C14, C15",1uF ceramic,TDK,FG18X7R1E105KRT00,Mouser,810-FG18X7R1E105KRT0
,2,"C16, C17",10uF tantalum,Kyocera AVX,TAP106K025SRW,Mouser,581-TAP106K025SRW
,2,"C43, C44",10uF electrolytic,Panasonic,ECE-A1VKA100I,Mouser,667-ECE-A1VKA100I
,3,"C4, C5, C6",220uF electrolytic,Nichicon,UPJ0J221MED,Mouser,647-UPJ0J221MED
,1,C7,DNP,,,,
,8,"R15, R18, R24, R25, R26, R27,
R72, R74",75R,KOA Speer,MF1/4DCT52R75R0F,Mouser,660-MF1/4DCT52R75R0F
,3,"R77, R78, R79",100R,KOA Speer,MF1/4DCT52R1000F,Mouser,660-MF1/4D52R1000F
,10,"R2, R5, R8, R11, R16, R20, R59,
R60, R61, R73 ",499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F
,41,"R3, R6, R9, R10, R14, R17, R19,
R23, R30, R31, R32, R33, R34,
R35, R36, R38, R39, R40, R41,
R42, R43, R44, R46, R47, R48,
R49, R50, R51, R52, R53, R54,
R55, R62, R63, R64, R65, R66,
R67, R69, R71, R76",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
,1,R82,1.2k,KOA Speer,MF1/4DCT52R1201F,Mouser,660-MF1/4DCT52R1201F
,3,"R29, R37, R45",1.4k,KOA Speer,MF1/4DCT52R1401F,Mouser,660-MF1/4DCT52R1401F
,1,R68,1.96k,KOA Speer,MF1/4DCT52R1961F,Mouser,660-MF1/4DCT52R1961F
,1,R12,2.37k,KOA Speer,MF1/4DCT52R2371F,Mouser,660-MF1/4DCT52R2371F
,1,R22,3.01k,KOA Speer,MF1/4DCT52R3011F,Mouser,660-MF1/4DCT52R3011F
,1,R75,3.57k,KOA Speer,MF1/4DCT52R3571F,Mouser,660-MF1/4DCT52R3571F
,2,"R80, R81",4.99k,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F
,1,R70,5.11k,KOA Speer,MF1/4DCT52R5111F2,Mouser,660-MF1/4DCT52R5111F
,1,R21,5.9k,KOA Speer,MF1/4DCT52R5901F,Mouser,660-MF1/4DCT52R5901F
,2,"R83, R84",10k,KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F
,1,R13,12.4k,KOA Speer,MF1/4DCT52R1242F,Mouser,660-MF1/4DCT52R1242F
,6,"R1, R4, R7, R56, R57, R58",100k,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4D52R1003F
,12,"D1, D2, D3, D4, D5, D6, D7,D8, D9,
D10, D11, D12",1N5711,STMicroelectronics,1N5711,Mouser,511-1N5711
,2,"D13, D14",1N4001,Vishay,1N4001-E3/54,Mouser,625-1N4001-E3/54
,8,"U1, U2, U3, U5, U6, U7, U9, U10",LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
,1,U4,AD724 (pre-soldered),,,,
,2,"U8, U11",CD74HC4053,Texas Instruments,CD74HC4053E,Mouser,595-CD74HC4053E
,2,"U12, U17",TL072,Texas Instruments,TL072IP,Mouser,595-TL072IP
,1,U13,74HC14,Texas Instruments,SN74HC14AN,Mouser,595-SN74HC14AN
,1,U14,Video Genlock (pre-assembled),,,,
,1,U15,ADA4851-4 (pre-soldered),,,,
,1,U16,TL431,Texas Instruments,TL431BQLPR,Mouser,595-TL431BQLPR
,1,REG1,78L05,STMicroelectronics,L78L05ACZ,Mouser,511-L78L05ACZ
,1,REG2,79L05,STMicroelectronics,L79L05ACZ,Mouser,511-L79L05ACZ
,2,"FB1, FB2",Ferrite,Fair-Rite,2743001111,Mouser,623-2743001111
,1,Y1,3.58MHz XTAL (pre-soldered),,,,
,1,Y2,4.43MHz XTAL  (pre-soldered),,,,
,3,"J1, J2, J3",PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
,1,J4,RCJ-026,CUI Devices,RCJ-026,Mouser,490-RCJ-026
,1,J5,RCJ-025,CUI Devices,RCJ-025,Mouser,490-RCJ-025
,1,J6,RCJ-022,CUI Devices,RCJ-022,Mouser,490-RCJ-022
,1,J7,RCJ-024,CUI Devices,RCJ-024,Mouser,490-RCJ-024
,2,"J9, J10",RCJ-021,CUI Devices,RCJ-021,Mouser,490-RCJ-021
,1,J8,MD-40SV,CUI Devices,MD-40SV,Mouser,490-MD-40SV
,1,J11,10pin power connector,Wurth Elektronik,61201021621,Mouser,710-61201021621
,2,"S1, S3",EG2201B,E-Switch,EG2201B,Mouser,"612-EG2201B
"
,1,S2,EG2301B,E-Switch,EG2301B,Mouser,612-EG2301B
,6,"XS1, XS2, XS3, XS4, XS5, XS6",8pin socket,Tayda,A-1305 ,Tayda,A-1305 
,6,"XS1, XS2, XS3, XS4, XS5, XS6",8pin header,Tayda,A-197,Tayda,A-197
,1,XS4,8pin stackable,Tayda,A-1052,Tayda,A-1052
,2,(U14),20pin socket,Tayda,A-1310,Tayda,A-1310
,4,,10mm FF M3 Spacer,Wurth Elektronik,970100354,Mouser,710-970100354
,4,,11mm FF M3 Spacer,Wurth Elektronik,970110324,Mouser,710-970110324
,1,,11mm MF M3 Spacer,Wurth Elektronik,971110365,Mouser,710-971110365
,16,,6mm M3 screw,Keystone,9191-3,Mouser,534-9191-3
,1,,VU007B_Control_RevC,Syntonie,,,
,1,,VU007B_Main_RevC,Syntonie,,,
,1,,VU007B_Power_RevC,Syntonie,,,
,1,,VU007B_FP_RevC,Syntonie,,,
