Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,1,C1,100pF,TDK,FG18C0G1H101JNT06,Mouser,810-FG18C0G1H101JNT6
2,1,C21,560pF,TDK,FG18C0G1H561JNT06,Mouser,810-FG18C0G1H561JNT6
3,1,C19,10nF,TDK,FG18X7R1H103KNT06,Mouser,810-FG18X7R1H103KNT6
4,12,"C4, C5, C6, C7, C8, C9
C10, C11, C12, C15, C18, C22",100nF,TDK,FG18X7R1H104KNT06 ,Mouser,810-FG18X7R1H104KNT06
5,1,C3,220nF,TDK,FG18X7R1H224KRT0,Mouser,810-FG18X7R1H224KRT0
6,1,C14,330nF,TDK,FG24X7R1H334KNT06,Mouser,810-FG24X7R1H334KNT06
7,2,"C16, C17",10uF,Nichicon,USA1V100MDD1TP,Mouser,647-USA1V100MDD1TP
8,1,C20,DNP,,,,
9,1,R28,75R,KOA Speer,MF1/4DCT52R75R0F,Mouser,660-MF1/4D52R75R0F
10,3,"R29, R30, R31",100R,KOA Speer,MF1/4DCT52R1000F,Mouser,660-MF1/4D52R1000F
11,2,"R2, R26",499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660-MF1/4DCT52R4990F
12,4,"R5, R11, R14, R16",1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F
13,1,R18,2k,KOA Speer,MF1/4DCT52R2001F,Mouser,660-MF1/4DCT52R2001F
14,1,R19,2.87k,KOA Speer,MF1/4DCT52R2871F,Mouser,660-MF1/4D52R2871F
15,1,R4,3.9k,KOA Speer,MF1/4DCT52R3901F,Mouser,660-MF1/4DCT52R3901F
16,3,"R6, R12, R23",4.99k,KOA Speer,MF1/4DCT52R4991F,Mouser,660-MF1/4DCT52R4991F
17,11,"R3, R7, R8, R9, R10, R15,
R17, R20, R25, R32, R33",10k,KOA Speer,MF1/4DCT52R1002F,Mouser,660-MF1/4DCT52R1002F
18,1,R1,100k,KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4D52R1003F
19,1,R24,24.9k,KOA Speer,MF1/4DCT52R2492F,Mouser,660-MF1/4DCT52R2492F
20,1,R13,4.7M,KOA Speer,RK1/4DC4704F,Mouser,660-RK1/4DC4704F
21,2,"D1, D2",1N5711,STMicroelectronics,1N5711,Mouser,511-1N5711
22,2,"D3, D4",1N4001,Vishay,1N4001-E3/54,Mouser,625-1N4001-E3/54
23,2,"FB1, FB2",Ferrite,Fair-Rite,2743001111,Mouser,623-2743001111
24,1,Q1,DNP,,,,
25,1,Q2,2N3904,ON Semi,2N3904BU,Mouser,512-2N3904BU
26,3,"U1, U4, U5",LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926-LM6172IN/NOPB
27,1,U2,TL072,Texas Instruments,TL072IP,Mouser,595-TL072IP
28,1,U3,CD4046,Texas Instruments,CD4046BE,Mouser,595-CD4046BE
29,1,U6,TL431,Texas Instruments,TL431BQLPR,Mouser,595-TL431BQLPR
30,1,U8,78L05,Texas Instruments,UA78L05ACLP,Mouser,595-UA78L05ACLP
31,1,U9,LMH1980,presoldered,,,
32,2,"J1, J2",PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
33,1,"J4, J6",RCJ-024,CUI Devices,RCJ-024,Mouser,490-RCJ-024
34,1,J5,10pin connector,Wurth Elektronik,61201021621,Mouser,710-61201021621
35,2,"S1, S2",EG2201B,E-Switch,EG2201B,Mouser,612-EG2201B
36,2,"VR1, VR2",10k potentiometer,Alpha,B10K - D shaft – Alpha Vertical,Thonk,B10K - D shaft - Alpha Vertical
37,1,VR3,10k tall trimmer,Song Huei,B10K - Song Huei TALL,Thonk,B10K - Song Huei TALL
38,2,"XS1, XS2",8pin socket,Tayda,A-1305,Tayda,A-1305
39,2,"XS1, XS2",8pin stackable,Tayda,A-1052,Tayda,A-1052
40,2,"XS1, XS2",8pin header,Tayda,A-197,Tayda,A-197
41,1,XS3,3pin header,Tayda,A-197,Tayda,A-197
42,1,XS3,2pin jumper,Tayda,A-1324,Tayda,A-1324
43,2,,Sifam knob+blue cap,Sifam,Black Small Skirt D + Blue cap,Thonk,Black Small Skirt D + Blue cap
44,2,,M3 spacer MF 11mm,Wurth Elektronik,971110365,Mouser,710-971110365
45,2,,M3 spacer FF 11mm,Wurth Elektronik,970110324,Mouser,710-970110324
46,4,,M3 6mm screws,Keystone,9191-3,Mouser,534-9191-3
47,1,VU009_FP,VU009 Front Panel,Syntonie,,,
48,1,VU009_Control_Rev_E,VU009 Control board,Syntonie,,,
49,1,VU009_Main_Rev_E,VU009 Main board,Syntonie,,,
50,1,VU009_RCA_Sync_Power_Rev_E,VU009 RCA Sync Power board,Syntonie,,,
